Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Identification of roxarsone metabolites produced in the system: Soil-chlorinated water-light by using HPLC-ICP-MS/ESI-MS, HPLC-ESI-MS/MS and High Resolution Mass Spectrometry (ESI-TOF-MS)",ELIZALDE GONZALEZ MARIA DE LA PAZ,6,,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,2011,26,,,18,1.29,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,1,1,1,0,0,1,0,0,1
Using Akaike Information Criterion to Select the Optimal Isotherm Equation for Adsorption from Solution,ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,ADSORPTION SCIENCE & TECHNOLOGY,2014,32,,,15,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,1,1,4
Novel preparation of carbon-TiO<sub>2</sub> composites,ELIZALDE GONZALEZ MARIA DE LA PAZ,3,,JOURNAL OF HAZARDOUS MATERIALS,DEC 15 2013,263,,,15,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,3,1,1,2,0,1
Identification of degradation products of phenylarsonic acid and <i>o</i>-arsanilic acid in contact with suspensions of soils of volcanic origin,ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,TALANTA,SEP 15 2012,99,,,15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,2,1,1,2,0,0
"Preparation, characterization, and application of TiO<sub>2</sub>/Carbon composite: Adsorption, desorption and photocatalysis of Gd-DOTA",ELIZALDE GONZALEZ MARIA DE LA PAZ,4,,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,NOV 2018,120,,,14,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,3,1
Photodegradation of the anthraquinonic dye Acid Green 25 by TiO<sub>2</sub> immobilized on carbonized avocado kernels: Intermediates and toxicity,ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,APPLIED CATALYSIS B-ENVIRONMENTAL,MAY 2015,166,,,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,1,1,0,1,1
"Retention index system, adsorption characteristics, and structure correlations of polycyclic aromatic hydrocarbons in fuels",ELIZALDE GONZALEZ MARIA DE LA PAZ,3,,HRC-JOURNAL OF HIGH RESOLUTION CHROMATOGRAPHY,JUN 1996,19,,,12,0.41,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Assessment of the effectiveness of combined adsorption and photocatalysis for removal of the herbicide isoproturon,ELIZALDE GONZALEZ MARIA DE LA PAZ,4,,PHYSICS AND CHEMISTRY OF THE EARTH,2016,91,,,11,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,2,0,0
Retention of phenylarsenicals in soils derived from volcanic materials,ELIZALDE GONZALEZ MARIA DE LA PAZ,5,,JOURNAL OF HAZARDOUS MATERIALS,FEB 28 2011,186,,,11,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,2,0,0,1,0
Effect of cooking processes on the contents of two bioactive carotenoids in <i>Solahum lycopersicum</i> tomatoes and <i>Physalis ixocarpa</i> and <i>Physalis philadelphica</i> tomatillos,ELIZALDE GONZALEZ MARIA DE LA PAZ,2,,MOLECULES,AUG 2007,12,,,11,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,2,0,1,0,1,0
