Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Experimental analysis of real-world emissions using ultra-low carbon intensity biodiesel for a light-duty diesel vehicle in Monterrey metropolitan area,HERNANDEZ ALTAMIRANO RAUL,5,,FUEL,JUN 1 2022,317,,,5,1.67,0,0,0,0,0,0,0,0,0,0,2,2,1
Green and fast biodiesel production at room temperature using soybean and <i>Jatropha curcas</i> L. oils catalyzed by potassium ferrate,HERNANDEZ ALTAMIRANO RAUL,7,,JOURNAL OF CLEANER PRODUCTION,OCT 20 2022,372,,,4,1.33,0,0,0,0,0,0,0,0,0,0,0,3,1
Development through computational design of a new terpolymer with anti-scale properties applied to the oil production assurance process,HERNANDEZ ALTAMIRANO RAUL,8,,FUEL,DEC 15 2020,282,,,3,0.6,0,0,0,0,0,0,0,0,0,0,2,1,0
Dynamic modeling and simulation of three-phase reactors for hydrocracking of vegetable oils,HERNANDEZ ALTAMIRANO RAUL,5,,REACTION KINETICS MECHANISMS AND CATALYSIS,DEC 2020,131,,,3,0.6,0,0,0,0,0,0,0,0,0,0,1,2,0
Quantum molecular design and experimental testing of a high-performance zwitterionic corrosion inhibitor for oxidized iron surfaces,HERNANDEZ ALTAMIRANO RAUL,8,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,DEC 2019,93,,,3,0.5,0,0,0,0,0,0,0,0,0,2,0,0,1
Hydrotreating Model Comparison of Raw Castor Oil and its Methyl Esters for Biofuel Production,HERNANDEZ ALTAMIRANO RAUL,7,,CHEMICAL ENGINEERING & TECHNOLOGY,JAN 2019,42,,,3,0.5,0,0,0,0,0,0,0,0,0,2,1,0,0
Extraction and characterisation of lignin from residues of Mexican Ocote pine (<i>Pinus montezumae</i> Lamb.) for biofuel production,HERNANDEZ ALTAMIRANO RAUL,5,,BIOFUELS-UK,AUG 8 2024,15,,,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Biogas purification processes: review and prospects,HERNANDEZ ALTAMIRANO RAUL,5,,BIOFUELS-UK,FEB 7 2024,15,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
Static and dynamic adsorption of supramolecular surfactant for oil recovery in high temperature and salinity conditions,HERNANDEZ ALTAMIRANO RAUL,10,,JOURNAL OF SURFACTANTS AND DETERGENTS,NOV 2023,26,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chemical pretreatment of corncob for the selective dissolution of hemicellulose and lignin: influence of pretreatment on the chemical, morphological and thermal features",HERNANDEZ ALTAMIRANO RAUL,5,,BIOFUELS-UK,JAN 2 2024,15,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
Biodiesel derived from waste cooking oil in blends with ultra-low sulphur diesel and its spray macroscopic properties under split injection strategy,HERNANDEZ ALTAMIRANO RAUL,6,,BIOFUELS-UK,MAR 16 2023,14,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1
Green-Inspired Synthesis and Industrial Applications of Branched Geminal Zwitterionic Liquids,HERNANDEZ ALTAMIRANO RAUL,8,,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,AUG 2017,5,,,1,0.13,0,0,0,0,0,0,0,0,0,1,0,0,0
Effect of solubility and partition coefficient on the toxicity of corrosion inhibitors used in the oil industry,HERNANDEZ ALTAMIRANO RAUL,6,,CHEMICAL PAPERS,APR 2024,78,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploring the Biorefinery Potential of <i>Acrocomia aculeata</i>: A Native Mexican Palm for Sustainable Resource Valorization,HERNANDEZ ALTAMIRANO RAUL,4,,WASTE AND BIOMASS VALORIZATION,JUN 2024,15,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioenergy enhancement for isolated microalgae-yeast cocultured residual biomass as a function of inorganic micronutrients' distribution,HERNANDEZ ALTAMIRANO RAUL,6,,BIOFUELS-UK,MAR 15 2024,15,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodegradation of Linear Alkylbenzene sulfonate-Anthracene Mixture by a Microbial Consortium isolated from Sediment,HERNANDEZ ALTAMIRANO RAUL,5,,RESEARCH JOURNAL OF BIOTECHNOLOGY,DEC 2021,16,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Implications of CaSO<sub>4</sub> scale growth on the corrosive response of carbon steel in acid media,HERNANDEZ ALTAMIRANO RAUL,7,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,MAR 5 2020,588,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Density Functional Theoretical Study of the Interaction of Geminal Zwitterionic Liquids with Limestone, Regarding the Behavior of the Wettability Parameter (vol 50, pg 3538, 2012)",HERNANDEZ ALTAMIRANO RAUL,8,,JOURNAL OF CHEMICAL AND ENGINEERING DATA,APR 2016,61,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A DFT Study of Strecker Intermediates as Scavengers for Cyanides,HERNANDEZ ALTAMIRANO RAUL,7,,ASIAN JOURNAL OF CHEMISTRY,OCT 2012,24,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
