Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Theoretical study of interactions between cavitand and fullerenes,LARA OCHOA JOSE MANUEL FRANCISCO,4,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,JAN 7 2000,496.0,,,3,0.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coordinative dimerization of aminosilanes. Model MNDO and ab initio molecular orbital calculations,LARA OCHOA JOSE MANUEL FRANCISCO,3,,MAIN GROUP CHEMISTRY,1996,1.0,,,3,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
An AM1 investigation of the structures of C60:tBu-calix[8]arene 1:1 adducts,LARA OCHOA JOSE MANUEL FRANCISCO,5,,FULLERENE SCIENCE AND TECHNOLOGY,1999,7.0,,,2,0.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VARIABILITY ANALYSIS OF THE T-CELL RECEPTORS USING 3 VARIABILITY INDEXES,LARA OCHOA JOSE MANUEL FRANCISCO,4,,INTERNATIONAL JOURNAL OF PEPTIDE AND PROTEIN RESEARCH,FEB 1995,45.0,,,2,0.07,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A DYNAMIC-MODEL FOR A COOPERATIVE ENZYME,LARA OCHOA JOSE MANUEL FRANCISCO,2,,JOURNAL OF THEORETICAL BIOLOGY,JAN 21 1992,154.0,,,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Quinuclidine derivatives in cycloaddition reactions with fullerenes [60]- and [70]-,LARA OCHOA JOSE MANUEL FRANCISCO,4,,FULLERENE SCIENCE AND TECHNOLOGY,2001,9.0,,,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On the formation of cyclodisdilazanes via the coordination of bis(dialkylaminosilanes) to halogenosilanes: An ab initio and AM1 molecular orbital study of the 4644 R2Si(NR'(2))(2):SiX4 ring systems,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,JUN 2 1997,397.0,,,1,0.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canonical structure repertoire of the antigen-binding site of immunoglobulins suggests strong geometrical restrictions associated to the mechanism of immune recognition (vol 254, pg 497, 1995)",LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR BIOLOGY,MAY 24 1996,258.0,,,1,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A DYNAMIC-MODEL FOR PHOSPHOLIPID CALCIUM-BINDING,LARA OCHOA JOSE MANUEL FRANCISCO,1,,BIOPHYSICAL CHEMISTRY,MAY 1991,40.0,,,1,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENSITY DEPENDENT DIFFUSIONAL MODEL OF AN INFECTIVE POPULATION,LARA OCHOA JOSE MANUEL FRANCISCO,2,,BIOSYSTEMS,1990,24.0,,,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of a manufacturing process for the drug fenleuton,LARA OCHOA JOSE MANUEL FRANCISCO,3,,TETRAHEDRON LETTERS,JAN 4 2017,58.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frequency analysis of amino acids in the recognition regions of T-cell receptors,LARA OCHOA JOSE MANUEL FRANCISCO,4,,BIOSYSTEMS,1996,39.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON THE SKEW DISTRIBUTION OF IMMUNOGLOBULINS AND THE INVERTED PROTEIN-FOLDING PROBLEM,LARA OCHOA JOSE MANUEL FRANCISCO,2,,BIOSYSTEMS,1991,24.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A MODEL FOR AGGREGATION-DISPERSION DYNAMICS OF A POPULATION,LARA OCHOA JOSE MANUEL FRANCISCO,2,,BIOSYSTEMS,1990,24.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
