Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bistable behavior via switching dissipative systems with unstable dynamics and its electronic design,CAMPOS CANTON ERIC,3,,IFAC PAPERSONLINE,2018,51.0,"2nd IFAC Conference on Modelling, Identification and Control of Nonlinear Systems (MICNON)","JUN 20-22, 2018",4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Experimental multi-scroll attractor driven by switched systems,CAMPOS CANTON ERIC,4,,REVISTA MEXICANA DE FISICA,MAR-APR 2017,63.0,,,4,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Discrete Coupling and Synchronization in the Insulin Release in the Mathematical Model of the β Cells,CAMPOS CANTON ERIC,2,,DISCRETE DYNAMICS IN NATURE AND SOCIETY,2013,2013.0,,,4,0.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0
Exploring a family of Bernoulli-like shift chaotic maps and its amplitude control,CAMPOS CANTON ERIC,2,,CHAOS SOLITONS & FRACTALS,OCT 2023,175.0,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
A class of Chua-like systems with only two saddle-foci of different type,CAMPOS CANTON ERIC,3,,IFAC PAPERSONLINE,2018,51.0,5th IFAC Conference on Analysis and Control of Chaotic Systems (CHAOS),"OCT 30-NOV 01, 2018",3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Grayscale image encryption using a hyperchaotic unstable dissipative system,CAMPOS CANTON ERIC,4,,2013 8TH INTERNATIONAL CONFERENCE FOR INTERNET TECHNOLOGY AND SECURED TRANSACTIONS (ICITST),2013,,8th International Conference for Internet Technology and Secured Transactions (ICITST),"DEC 09-12, 2013",3,0.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Nonlinear element of a chaotic generator,CAMPOS CANTON ERIC,4,,REVISTA MEXICANA DE FISICA,JUN 2007,53.0,,,3,0.17,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Analysis of a Class of Complex System without Equilibria via Switched Control Law,CAMPOS CANTON ERIC,2,,IFAC PAPERSONLINE,2018,51.0,"2nd IFAC Conference on Modelling, Identification and Control of Nonlinear Systems (MICNON)","JUN 20-22, 2018",2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Nonlinear Filtering Preserves Chaotic Synchronization via Master-Slave System,CAMPOS CANTON ERIC,4,,ABSTRACT AND APPLIED ANALYSIS,2013,,,,2,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Electronic implementation of R2 lineal systems,CAMPOS CANTON ERIC,4,,REVISTA MEXICANA DE FISICA,DEC 2008,54.0,,,2,0.12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHAOTIC DYNAMICS OF A NONLINEAR ELECTRONIC CONVERTER,CAMPOS CANTON ERIC,3,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,OCT 2008,18.0,,,2,0.12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Poincare planes in nonlinear electronics,CAMPOS CANTON ERIC,3,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,JAN 2007,17.0,,,2,0.11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Trends on Modeling, Design, and Control of Chaotic Systems",CAMPOS CANTON ERIC,6,,MATHEMATICAL PROBLEMS IN ENGINEERING,2017,2017.0,,,1,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chua's circuit and its characterization as a filter,CAMPOS CANTON ERIC,4,,EUROPEAN JOURNAL OF PHYSICS,NOV 2014,35.0,,,1,0.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pseudorandom Sequences in Spread-Spectrum Communications Generated by Cellular Automata,CAMPOS CANTON ERIC,4,,JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY,OCT 2012,10.0,,,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
