Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nitrogen oxides and methane treatment by non-thermal plasma,PACHECO SOTELO JOEL OSVALDO,7,"VargasBlanco, I; HerreraVelazquez, JJE",15TH LATIN AMERICAN WORKSHOP ON PLASMA PHYSICS (LAWPP 2014) AND 21ST IAEA TM ON RESEARCH USING SMALL FUSION DEVICES (RUSFD),2015,591,15th Latin American Workshop on Plasma Physics (LAWPP) / 21st IAEA TM on Research Using Small Fusion Devices (RUSFD),"JAN 27-31, 2014",3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Impulse Three Phase Power Supply Used for a Gliding Plasma Discharge,PACHECO SOTELO JOEL OSVALDO,7,"VargasBlanco, I; HerreraVelazquez, JJE",15TH LATIN AMERICAN WORKSHOP ON PLASMA PHYSICS (LAWPP 2014) AND 21ST IAEA TM ON RESEARCH USING SMALL FUSION DEVICES (RUSFD),2015,591,15th Latin American Workshop on Plasma Physics (LAWPP) / 21st IAEA TM on Research Using Small Fusion Devices (RUSFD),"JAN 27-31, 2014",3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Degradation of tetrafluoroethane using three-phase gliding arc plasma,PACHECO SOTELO JOEL OSVALDO,6,"Bilbao, L; Minotti, F; Kelly, H",14TH LATIN AMERICAN WORKSHOP ON PLASMA PHYSICS (LAWPP 2011),2012,370,14th Latin American Workshop on Plasma Physics (LAWPP),"NOV 20-25, 2011",3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Removal of main exhaust gases of vehicles by a double dielectric barrier discharge,PACHECO SOTELO JOEL OSVALDO,9,"Bilbao, L; Minotti, F; Kelly, H",14TH LATIN AMERICAN WORKSHOP ON PLASMA PHYSICS (LAWPP 2011),2012,370,14th Latin American Workshop on Plasma Physics (LAWPP),"NOV 20-25, 2011",3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Magnetically assisted transferred plasma torch applied to vitrification of ceramic clay,PACHECO SOTELO JOEL OSVALDO,7,,IEEE TRANSACTIONS ON PLASMA SCIENCE,DEC 2007,35,,,3,0.17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Exact aggregation and defuzzification applied to a neutron fuzzy controller,PACHECO SOTELO JOEL OSVALDO,4,"Jamshidi, M; Hata, Y; Fathi, M; Homaifar, A; Jamshidi, JS","MULTIMEDIA, IMAGE PROCESSING AND SOFT COMPUTING: TRENDS, PRINCIPLES AND APPLICATIONS",2002,13,5th Biannual World Automation Congress,"JUN 09-13, 2002",3,0.13,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Multilayer Graphene Growth Assisted by Sulfur Using the Arc Discharge Method at Ambient Conditions,PACHECO SOTELO JOEL OSVALDO,8,,IEEE TRANSACTIONS ON PLASMA SCIENCE,JUL 2018,46,16th Latin American Workshop on Plasma Physics (LAWPP),"SEP 04-08, 2017",2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC Bipolar Pulsed Power Supply for Reactive Magnetron Sputtering,PACHECO SOTELO JOEL OSVALDO,7,,IEEE TRANSACTIONS ON PLASMA SCIENCE,OCT 2011,39,,,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Synthesis of Carbon Nanofibers by a Glow-arc Discharge,PACHECO SOTELO JOEL OSVALDO,3,"Kumar, A",NANOFIBERS,2010,,,,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Application of non-thermal plasma on gas cleansing,PACHECO SOTELO JOEL OSVALDO,4,,PHYSICA SCRIPTA,OCT 2008,T131,12th Latin American Workshop on Plasma Physics,"SEP 17-21, 2007",2,0.12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
