Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"<SUP>1</SUP>H and <SUP>13</SUP>C NMR spectra for a series of arylmaleamic acids, arylmaleimides, arylsuccinamic acids and arylsuccinimides",BELTRAN CONDE HIRAM ISAAC,5,,MAGNETIC RESONANCE IN CHEMISTRY,SEP 1999,37.0,,,21,0.81,1,2,0,2,1,2,1,0,1,0,0,1,0,1,1,1,1,0,2,1,2,0,1
Synthesis and characterization of boronates derived from non-symmetric amino-bis-phenols,BELTRAN CONDE HIRAM ISAAC,5,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,JAN 15 2006,691.0,,,20,1.05,0,0,0,0,1,0,2,0,3,2,4,3,0,2,2,0,0,0,1,0,0,0,0
"Synthesis and characterization of new (N→B) phenyl substituted[N-benzyliminodiacetate-O,O',N]boranes",BELTRAN CONDE HIRAM ISAAC,6,,ARKIVOC,2005,,,,19,0.95,0,0,0,0,0,3,1,4,2,3,1,0,0,1,1,1,0,2,0,0,0,0,0
Use of bis-aminoalcohol benzoquinones and dihydroxybenzoquinones in the formation of mono and polymeric structures of diorganotin(IV) derivatives,BELTRAN CONDE HIRAM ISAAC,6,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,MAY 15 2011,696.0,,,18,1.29,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,3,2,3,2,0,0,0,0
Theoretical and experimental studies of the initiator influence on the anionic ring opening polymerization of propylene oxide,BELTRAN CONDE HIRAM ISAAC,7,,JOURNAL OF MOLECULAR STRUCTURE,MAY 15 2008,879.0,,,18,1.06,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,1,2,5,0,1,1,0,0
"Purification, partial biochemical characterization and inactivation of polyphenol oxidase from Mexican Golden Delicious apple (<i>Malus domestica</i>)",BELTRAN CONDE HIRAM ISAAC,4,,JOURNAL OF FOOD BIOCHEMISTRY,JUN 2017,41.0,,,17,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,5,4,1
"The fungicide effect of HKUST-1 on <i>Aspergillus niger</i>, <i>Fusarium solani</i> and <i>Penicillium chrysogenum</i>",BELTRAN CONDE HIRAM ISAAC,6,,NEW JOURNAL OF CHEMISTRY,APR 7 2018,42.0,,,16,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,5,1
"Fullerenemalonates inhibit amyloid beta aggregation, <i>in vitro</i> and <i>in silico</i> evaluation",BELTRAN CONDE HIRAM ISAAC,8,,RSC ADVANCES,2018,8.0,,,16,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,1,3
"Synthesis and characterization of piperazine-2,6-diones",BELTRAN CONDE HIRAM ISAAC,5,,ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,FEB 2002,34.0,,,15,0.65,0,0,0,1,1,2,1,0,0,1,2,0,0,0,1,1,0,1,2,0,0,1,1
Composites of Anthraquinone Dyes@HKUST-1 with Tunable Microstructuring: Experimental and Theoretical Interaction Studies,BELTRAN CONDE HIRAM ISAAC,5,,CHEMISTRY-A EUROPEAN JOURNAL,MAR 21 2019,25.0,,,14,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,4
