Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Loading of doxorubicin on poly(methyl methacrylate-co-methacrylic acid) nanoparticles and release study,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,10,,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,JUN 13 2021,32.0,,,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Improvement of the Photostability of Low-Density Polyethylene and Ethylene Vinyl Acetate Blends with Nanoclay: Toward Durable Nanocomposites for Potential Application in Greenhouse Cover Films,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,9,,POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,2018,57.0,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Influence of ionic liquid on graphite/silver nanoparticles dispersion and antibacterial properties against <i>Escherichia coli</i> of PP/EPDM composite coatings,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,11,,JOURNAL OF APPLIED POLYMER SCIENCE,JUN 5 2020,137.0,,,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Study of the Effect of a Polymeric Compatibilizing Agent on the Flame Retardancy and Tensile Properties of High Density Polyethylene/Magnesium Hydroxide Compositions,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,9,,MACROMOLECULAR SYMPOSIA,AUG 2017,374.0,3rd Macromex Conference together with the 27th National Meeting of the Mexican-Polymer-Society (MPS),"DEC 03-06, 2014",4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Preparation and characterization of acrylic acid/itaconic acid hydrogel coatings containing silver nanoparticles,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,8,,JOURNAL OF APPLIED POLYMER SCIENCE,NOV 15 2013,130.0,,,4,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Synthesis of multielement ferrites and their silica composites,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,MAR 2012,61.0,,,4,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
Blends of polyethylene-polyisoprene rubbers: Study of flow properties,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,JOURNAL OF POLYMER ENGINEERING,1997,17.0,,,4,0.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Performance of Cotton, Cotton-Polyester, and Polyester-Elastane Fabrics Impregnated with Ultrafine Polymeric Nanoparticles Loaded with Lavender Oil",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,10,,JOURNAL OF NANOMATERIALS,FEB 17 2021,2021.0,,,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Synthesis and Characterization of a pH- and Temperature-Sensitive Fe<sub>3</sub>O<sub>4</sub>-SiO<sub>2</sub>-Poly(NVCL-co-MAA) Nanocomposite for Controlled Delivery of Doxorubicin Anticancer Drug,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,6,,POLYMERS,FEB 2023,15.0,,,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Influence of ammonium polyphosphate-modified polypropylene on flammability characteristics of polypropylene keratin and chitosan sustainable composites,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,12,,FIRE AND MATERIALS,MAR 2023,47.0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Photophysical and Electrochemical Properties of Push-PullOligo(ferrocenyl-phenyleneethynylene)s: Supramolecular Orders inMolecular Films,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,10,,LANGMUIR,APR 5 2022,38.0,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Phenol functionalized high-density polyethylene as compatibilizer of high-density polyethylene/graphene nanocomposites toward enhanced mechanical and interfacial adhesion,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,10,,JOURNAL OF APPLIED POLYMER SCIENCE,FEB 10 2022,139.0,,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Synthesis and Characterization of Magnetic Polyurethane Nanocomposite Foams,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,"Ponce, A; Bueno, D",ADVANCED ELECTRON MICROSCOPY AND NANOMATERIALS,2010,644.0,1st Joint Advanced Electron Microscopy School for Nanomaterials/Workshop on Nanomaterials (AEM-NANOMAT 09),"SEP 29-OCT 02, 2009",1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Synthesis of plasticizer-based ferrofluid and its use in the preparation of magnetic PVC nanocomposite,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,3,"Ponce, A; Bueno, D",ADVANCED ELECTRON MICROSCOPY AND NANOMATERIALS,2010,644.0,1st Joint Advanced Electron Microscopy School for Nanomaterials/Workshop on Nanomaterials (AEM-NANOMAT 09),"SEP 29-OCT 02, 2009",1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Melt rheology, morphology, and mechanical properties of thermoplastic/rubber blends",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,5,,JOURNAL OF POLYMER ENGINEERING,1998,18.0,,,1,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of Co<sub>1-x</sub>Gd<sub>x</sub>Fe<sub>2</sub>O<sub>4+δ</sub> (0 ≥ x ≤ 0.1) and study of their magnetic, electric, and magneto-optical properties",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,7,,CERAMICS INTERNATIONAL,NOV 2017,43.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical crosslinking of flexible PVC foam formulations,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,"ANTEC 2000: SOCIETY OF PLASTICS ENGINEERS TECHNICAL PAPERS, CONFERENCE PROCEEDINGS, VOLS I-III",2000,,58th Annual Technical Conference of the Society-of-Plastics-Engineers,"MAY 07-11, 2000",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melt rheology, morphology and mechanical properties of thermoplastic/rubber blends",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,5,,"ANTEC'97 - PLASTICS SAVING PLANET EARTH, CONFERENCE PROCEEDINGS, VOLS 1 - 3",1997,,55th Annual Technical Conference of the Society-of-Plastics-Engineers - Plastics Saving Planet Earth (ANTEC 97),"APR 27-MAY 02, 1997",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study of the flow properties of thermoplastic elastomers: Blends of polyethylene-polyisoprene rubbers,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,3,,"ANTEC'97 - PLASTICS SAVING PLANET EARTH, CONFERENCE PROCEEDINGS, VOLS 1 - 3",1997,,55th Annual Technical Conference of the Society-of-Plastics-Engineers - Plastics Saving Planet Earth (ANTEC 97),"APR 27-MAY 02, 1997",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
