Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Finite-element analysis of the effect of basic hip movements on the mechanical stimulus within a proximal femur,TOVAR LOPEZ FRANCISCO JAVIER,4,,REVISTA DE INVESTIGACION CLINICA-CLINICAL AND TRANSLATIONAL INVESTIGATION,JUL 2014,66.0,,,1,0.09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Design, characterization and application of a novel mono-layer pin-microvalve for microfluidic devices",TOVAR LOPEZ FRANCISCO JAVIER,6,,RSC ADVANCES,2014,4.0,,,1,0.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shear Stress Potentiates the Activation of TRPV4 by GSK1016790A,TOVAR LOPEZ FRANCISCO JAVIER,6,,FASEB JOURNAL,APR 2015,29.0,Experimental Biology Meeting,"MAR 28-APR 01, 2015",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynamic evaluation and control of blood clotting using a microfluidic platform for high-throughput diagnostics,TOVAR LOPEZ FRANCISCO JAVIER,6,"Eggleton, BJ; Palomba, S","MICRO+NANO MATERIALS, DEVICES, AND SYSTEMS",2015,9668.0,"SPIE Conference on Micro+Nano Materials, Devices, and Systems","DEC 06-09, 2015",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endothelial cell forward migration in a disturbed wall shear stress environment is promoted by ROCK inhibition,TOVAR LOPEZ FRANCISCO JAVIER,7,,CARDIOVASCULAR RESEARCH,JUL 15 2014,103.0,3rd Congress of the ESC-Council-on-Basic-Cardiovascular-Science on Frontiers in Cardio Vascular Biology,"JUL 04-06, 2014",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platelet thrombi utilize co-operative biochemical and biophysical mechanisms to induce excessive leukocyte accumulation to sites of endothelial injury,TOVAR LOPEZ FRANCISCO JAVIER,8,,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,JUL 2013,11.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A microfluidic platform to study the mechano sensational properties of ion channels,TOVAR LOPEZ FRANCISCO JAVIER,7,"Friend, J; Tan, HH","MICRO/NANO MATERIALS, DEVICES, AND SYSTEMS",2013,8923.0,"Conference on Micro/Nano Materials, Devices, and Systems","DEC 09-11, 2013",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeling of Dynamic Platelet Aggregation in Response to Shear Rate Micro-gradients in a Microfluidics Device,TOVAR LOPEZ FRANCISCO JAVIER,5,,2013 ISSNIP BIOSIGNALS AND BIOROBOTICS CONFERENCE (BRC),2013,,4th ISSNIP - IEEE Biosignals and Biorobotics Conference,"FEB 18-20, 2013",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulation of Dynamic Platelet Aggregation in Response to Shear Rate Micro-gradients in a Microfluidics Device Applying Switching Control,TOVAR LOPEZ FRANCISCO JAVIER,5,"Gao, JX; Xu, D; Sun, X; Wu, Y","PROCEEDINGS OF THE 2013 6TH INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING AND INFORMATICS (BMEI 2013), VOLS 1 AND 2",2013,,6th International Conference on Biomedical Engineering and Informatics (BMEI),"DEC 16-18, 2013",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dielectrophoretic Separation of <i>Lactobacillus acidophillus</i> Bacteria from <i>Saccharomyces cerevisiae</i> Yeasts,TOVAR LOPEZ FRANCISCO JAVIER,9,,2012 CONFERENCE ON OPTOELECTRONIC AND MICROELECTRONIC MATERIALS AND DEVICES (COMMAD 2012),2012,,Conference on Optoelectronic and Microelectronic Materials and Devices (COMMAD),"DEC 11-14, 2012",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dielectrophoresis of Micro/Nano Particles Using Curved Microelectrodes,TOVAR LOPEZ FRANCISCO JAVIER,10,"Juodkazis, S; Gu, M",SMART NANO-MICRO MATERIALS AND DEVICES,2011,8204.0,Conference on Smart Nano-Micro Materials and Devices/SPIE Smart Nano + Micro Materials and Devices Forum,"DEC 05-07, 2011",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A microfluidics device to monitor platelet aggregation dynamics in response to strain rate micro-gradients in flowing blood (vol 10, pg 291, 2010)",TOVAR LOPEZ FRANCISCO JAVIER,7,,LAB ON A CHIP,2010,10.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dielectrophoretic Manipulation of Polystyrene Micro Particles in Microfluidic Systems,TOVAR LOPEZ FRANCISCO JAVIER,7,,"MNHMT2009, VOL 1",2010,,ASME Micro/Nanoscale Heat and Mass Transfer International Conference (MNHMT),"DEC 18-21, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixing Characterisation for a Serpentine Microchannel Equipped with Embedded Barriers,TOVAR LOPEZ FRANCISCO JAVIER,9,"Nicolau, DV; Metcalfe, G",BIOMEDICAL APPLICATIONS OF MICRO- AND NANOENGINEERING IV AND COMPLEX SYSTEMS,2008,7270.0,Conference on Biomedical Applications of Micro- and Nanoengineering IV and Complex Systems,"DEC 10-12, 2008",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characterization of high fluid strain micro contractions to study the stress on biological fluids,TOVAR LOPEZ FRANCISCO JAVIER,5,"Nicolau, DV; Metcalfe, G",BIOMEDICAL APPLICATIONS OF MICRO- AND NANOENGINEERING IV AND COMPLEX SYSTEMS,2008,7270.0,Conference on Biomedical Applications of Micro- and Nanoengineering IV and Complex Systems,"DEC 10-12, 2008",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrodynamic flow focusing to study the isolated effects of the flow components,TOVAR LOPEZ FRANCISCO JAVIER,6,"Nicolau, DV; Metcalfe, G",BIOMEDICAL APPLICATIONS OF MICRO- AND NANOENGINEERING IV AND COMPLEX SYSTEMS,2008,7270.0,Conference on Biomedical Applications of Micro- and Nanoengineering IV and Complex Systems,"DEC 10-12, 2008",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characterization of flows in micro contractions using micro PIV and CFD to study the protein aggregation process,TOVAR LOPEZ FRANCISCO JAVIER,3,"Nicolau, DV; Abbott, D; KalantarZadeh, K; DiMatteo, T; Bezrukov, SM",BIOMEMS AND NANOTECHNOLOGY III,2008,6799.0,Conference on BioMEMS and Nanotechnology III,"DEC 05-07, 2007",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
