Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
One-step synthesis of carbon nanospheres with an encapsulated iron-nickel nanoalloy and its potential use as an electrocatalyst,PEREZ ROBLES JUAN FRANCISCO,3,,NANOTECHNOLOGY,FEB 26 2021,32,,,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1
Syntghesis and Cheracterization of PdAg Nanoparticles as Oxygen Electrocatalyst in Acidic Medium,PEREZ ROBLES JUAN FRANCISCO,4,,JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,JUL 2010,13,10th International Congress of the Mexican-Hydrogen-Society,"SEP 27-OCT 01, 2010",10,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,0,2,0,0,0,0,0
Origin of interference colors on austenitic stainless steel,PEREZ ROBLES JUAN FRANCISCO,6,,INORGANIC MATERIALS,SEP 2005,41,,,10,0.5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,2,2,0
Adsorption of Arsenite from Groundwater Using Titanium Dioxide,PEREZ ROBLES JUAN FRANCISCO,4,,CLEAN-SOIL AIR WATER,JUN 2014,42,,,9,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,1,1,0,0,0
"Studies in sol-gel glasses with incorporation of Cu and Fe, using PAS, X-ray diffraction and EPR",PEREZ ROBLES JUAN FRANCISCO,7,,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,AUG 2000,18,,,9,0.36,0,0,0,1,2,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
Improvement of the anticorrosive and thermal properties of an Epoxy-SiO<sub>2</sub> coating due to the presence of silicon nitride,PEREZ ROBLES JUAN FRANCISCO,6,,PROGRESS IN ORGANIC COATINGS,OCT 2020,147,,,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0
Energetic evaluations of an electrochemical hydrogen compressor,PEREZ ROBLES JUAN FRANCISCO,9,,JOURNAL OF ENERGY STORAGE,NOV 25 2022,55,,,7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
Linseed and Complex Rosin Ester Oils Additivated with MWCNTs and Nanopearls for Gears/Wheel-Rail Systems,PEREZ ROBLES JUAN FRANCISCO,9,,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,FEB 2020,122,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2
"Comparative study on tensile behavior of inorganic fibers embedded in unsaturated polyester bisphenol A""-styrene copolymer""",PEREZ ROBLES JUAN FRANCISCO,9,,INORGANIC MATERIALS,MAY 2008,44,,,7,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0
Optical and structural characterization of copper-based colloidal particles in SiO<sub>2</sub> coatings,PEREZ ROBLES JUAN FRANCISCO,7,,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,JUL-AUG 1999,17,45th International Symposium of the American-Vacuum-Society,"NOV 02-06, 1998",7,0.27,0,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrochemical Properties of Nanostructured Ag Pt<sub>100-x</sub>/C Electrocatalyst fpr Oxygen Reduction Reaction,PEREZ ROBLES JUAN FRANCISCO,5,,JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,JUL 2012,15,,,6,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
Carbon nanotube junctions obtained by pulsed liquid injection chemical vapour deposition,PEREZ ROBLES JUAN FRANCISCO,6,,DIAMOND AND RELATED MATERIALS,JUL-SEP 2010,19,"20th European Conference on Diamond, Diamond-Like Materials, Carbon Nanotubes and Nitrides","SEP 06-10, 2009",6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
Optical processes in SiO<sub>2</sub> sol-gel glass colored with organic dyes,PEREZ ROBLES JUAN FRANCISCO,8,,INORGANIC MATERIALS,OCT 2000,36,,,6,0.24,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Organic-inorganic system of two-dimensional quantum wells prepared by the dye incorporation into sol-gel glass,PEREZ ROBLES JUAN FRANCISCO,7,,MICROELECTRONIC ENGINEERING,MAY 2000,51-2,3rd International Conference on Low Dimensional Structures and Devices (LDSD 99),"SEP 15-17, 1999",6,0.24,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Effect of nixtamalization on gluten-free whole corn, dough viscoelasticity, and the bread-making quality of leavened corn bread",PEREZ ROBLES JUAN FRANCISCO,7,,INTERNATIONAL JOURNAL OF GASTRONOMY AND FOOD SCIENCE,MAR 2023,31,,,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Synthesis and photocatalysis study of multiwalled carbon nanotubes grown in a lead-based microspherical support,PEREZ ROBLES JUAN FRANCISCO,6,,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,2018,26,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0
